slot,avg_price_ct,new_req_kwh,old_req_kwh,new_used_kwh,old_used_kwh,delta_used_kwh,new_avg_used_ct,old_avg_used_ct,new_rem_end_kwh,old_rem_end_kwh
00:00,29.272,0.5329,0.5355,0.5329,0.5355,-0.0026,29.265,29.266,2.6671,2.6645
00:15,27.81,0.4942,0.526,0.4942,0.526,-0.0318,27.81,27.81,2.1729,2.1384
00:30,27.155,0.1914,0.0071,0.1914,0.0071,0.1843,27.13,27.81,1.9814,2.1313
00:45,27.02,0.047,0.0,0.047,0.0,0.047,27.026,0,1.9344,2.1313
01:00,27.97,0.0233,0.0,0.0233,0.0,0.0233,27.97,0,1.9111,2.1313
01:45,27.21,0.0046,0.0,0.0046,0.0,0.0046,27.21,0,1.9066,2.1313
02:00,26.83,0.0453,0.0,0.0453,0.0,0.0453,26.83,0,1.8613,2.1313
02:15,28.05,0.0448,0.0221,0.0448,0.0221,0.0227,28.049,28.203,1.8165,2.1092
03:15,28.21,0.0464,0.047,0.0464,0.047,-0.0006,28.21,28.21,1.6362,1.9287
03:30,28.052,0.0541,0.0549,0.0541,0.0549,-0.0008,28.052,28.052,1.5821,1.8738
04:00,27.83,0.0869,0.0758,0.0869,0.0758,0.0111,27.83,27.83,1.4304,1.7334
04:15,28.583,0.0651,0.0639,0.0651,0.0639,0.0012,28.577,28.587,1.3653,1.6695
05:15,29.302,0.0458,0.0452,0.0458,0.0452,0.0006,29.305,29.305,1.1654,1.4705
05:30,29.73,0.0525,0.0509,0.0525,0.0509,0.0016,29.73,29.73,1.1129,1.4196
05:45,31.115,0.0505,0.0519,0.0505,0.0519,-0.0013,31.129,31.108,1.0624,1.3677
06:00,31.707,0.0477,0.0489,0.0477,0.0489,-0.0012,31.706,31.706,1.0147,1.3188
06:15,31.97,0.0694,0.0666,0.0694,0.0666,0.0028,31.97,31.97,0.9452,1.2522
06:45,31.9,0.3478,0.3344,0.3478,0.3344,0.0134,31.9,31.9,0.5121,0.8328
07:00,33.194,0.0887,0.0847,0.0887,0.0847,0.004,33.191,33.191,0.4234,0.7481
07:15,32.454,0.0822,0.0684,0.0822,0.0684,0.0138,32.451,32.495,0.3412,0.6797
07:30,32.09,0.0905,0.0848,0.0905,0.0848,0.0057,32.09,32.09,0.2507,0.5949
07:45,31.576,0.0549,0.0518,0.0549,0.0518,0.0031,31.576,31.576,0.1958,0.5431
08:00,32.503,0.043,0.0412,0.043,0.0412,0.0018,32.483,32.517,0.1528,0.5019
08:15,31.84,0.0506,0.0081,0.0506,0.0081,0.0425,31.84,31.84,0.1022,0.4938
08:30,31.583,0.0898,0.0,0.0898,0.0,0.0898,31.677,0,0.0124,0.4938
08:45,30.797,0.0042,0.0,0.0042,0.0,0.0042,30.78,0,0.0082,0.4938
09:15,31.266,0.0517,0.0,0.0081,0.0,0.0081,31.35,0,0.0,0.4938
09:30,29.15,0.0247,0.0,0.0,0.0,0.0,0,0,0.0,0.4938
09:45,27.004,0.0137,0.0,0.0,0.0,0.0,0,0,0.0,0.4938
10:15,29.22,0.0074,0.0,0.0,0.0,0.0,0,0,0.0,0.4938
11:15,27.336,0.3068,0.0,0.0,0.0,0.0,0,0,0.0,0.4938
11:30,25.91,0.5997,0.1947,0.0,0.1947,-0.1947,0,25.91,0.0,0.2991
11:45,25.248,0.1794,0.3,0.0,0.2991,-0.2991,0,25.24,0.0,0.0
